date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:01	149431/149431	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2019:33:52%20GMT	https://demo.goodlayers.com/hotale/resort2/register/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/register/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:36:01	157907/157907	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2010:33:45%20GMT	https://demo.goodlayers.com/hotale/resort2/about-us/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/about-us/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:36:02	131376/131376	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2009:43:47%20GMT	https://demo.goodlayers.com/hotale/resort2/login/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/login/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:36:02	142388/142388	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20May%202023%2010:36:01%20GMT	https://demo.goodlayers.com/hotale/resort2/404	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/404	(from https://demo.goodlayers.com/hotale/resort2/)
13:36:04	166229/166229	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2012:51:16%20GMT	https://demo.goodlayers.com/hotale/resort2/about-us-2/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/about-us-2/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:36:04	144609/144609	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2012:00:29%20GMT	https://demo.goodlayers.com/hotale/resort2/our-team/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/our-team/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:36:04	147174/147174	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2010:36:01%20GMT	https://demo.goodlayers.com/hotale/resort2/my-account/lost-password/?source=tm&lang	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/my-account/lost-password/index1ee4.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:36:04	167734/167734	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2013:04:52%20GMT	https://demo.goodlayers.com/hotale/resort2/about-us-3/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/about-us-3/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:36:05	152840/152840	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2015:28:20%20GMT	https://demo.goodlayers.com/hotale/resort2/hotel-review/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/hotel-review/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:36:05	169743/169743	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2014:41:33%20GMT	https://demo.goodlayers.com/hotale/resort2/team-frame-style/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/team-frame-style/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
